source,status,url,http_status,raw_link_count,relevant_news_count,titles,issue_or_solution,notes
EIA Today in Energy,active,https://www.eia.gov/todayinenergy/,200,15,10,Public companies produce most U.S. crude oil and natural gas | What goes into diesel prices? | Corpus Christi LNG expansion makes facility the second-largest in the United States | United States on track for record crude oil production in 2026 | Elevated crack spreads and crude oil prices contribute to higher prices at the pump | U.S. LNG exports rose 23% in the first half of 2026 because of higher capacity | Eight petroleum liquids pipeline projects have been completed since the start of 2025 | Dangote refinery drives increase in petroleum shipments from Nigeria | Longer wells boost Permian crude oil and natural gas production | United States on track for record natural gas production in 2026,OK.,
IEA,excluded from daily report,https://www.iea.org/,403,0,0,,"Excluded from live daily report. Reason: Reachable source, but excluded from the live daily report because it often adds broader policy/transition coverage rather than short-cycle crude/products market signal.","Reachable source, but excluded from the live daily report because it often adds broader policy/transition coverage rather than short-cycle crude/products market signal."
Energy Intelligence,active,https://www.energyintel.com/,200,346,14,"Trump Backs US Diesel Export Ban as Prices Surge | Saudi East-West Pipeline Restarts After Major Hormuz Oil Swing | Plot Thickens Around Lukoil International Asset Sale | Trump Administration Sends Vague Signals on Diesel Export Restrictions | Rising Prices, Supply Constraints Temper Oil Demand Outlook | South Korea Plans to Cap Mideast Crude, LNG Imports | Asian LNG Buyers Team Up to Improve Supply Resilience | Japan's Jera Set On Expanding Global LNG Offtake, Gas Assets | Weekly Monitor: Refining Remains Problematic as Oil Market Issues Grow | Energy Security Is Food Security: Asia’s Hidden Strategic Vulnerability | Who Holds the Power in Energy Now? | The Illusions of Energy Power | Exxon Refinery Outage Adds Pressure to Regional Fuel Prices | US-China Talks to Scrap LNG Tariff Face Hurdle Ahead of Summit",OK.,
World Oil,active,https://worldoil.com/,200,611,30,"North Sea oil and gas decline threatens 115,000-job workforce, report says | Halliburton signs Venezuela oil and gas agreements with Eneva, WESCA | First Oil: The twists and turns of our new summer forecast | Putting A.I. to work: The disciplined approach to innovation in oil and gas operations | Capstone Energy+ to supply flare gas recovery system for Maurel & Prom's Gabon field | Peter Thiel takes $76-million stake in Vaca Muerta producer Vista Energy | SM Energy to sell South Texas assets to Caturus Energy for $950 million | Interoil exits Argentina conventional assets as operators continue retreat from mature basins | ADNOC Drilling secures five-year, $800 million contract for oilfield services | BP Prudhoe Bay Royalty Trust offers overriding royalty in prolific Alaska oil field | U.S. shale producers move to boost output as oil surges past $100 | Continental Resources to boost U.S. oil output as crude tops $100 | TotalEnergies restarts Libya’s Mabruk oil field after decade-long halt | Elevating support technology to enhance energy production | TDI-Brooks wins survey contract for Delfin LNG deepwater port | Tulcan Energy awarded deepwater exploration license offshore Nigeria | Zenith Energy to lead P&A campaign for nine Timor Sea wells | TotalEnergies fast-tracks Angola oil discovery to first production in three months | Energy Holdings, Ventura Offshore sign LOI for $1 billion combination | Spirit Energy completes $55 million UK North Sea decommissioning campaign | SLB to restore offshore production for Brunei Shell Petroleum | Veolia launches ToroJet™ to advance produced water treatment for oil and gas | Water management: Water and oil do mix | MYCELX wins contract with Middle East producer to treat water during enhanced oil recovery | Argent LNG, Albania sign MoU for 5-MMtpa LNG terminal | deugro launches Papua New Guinea JV for major LNG project logistics | New UK training program supports workforce mobility between oil, gas and offshore wind | Osaka Gas buys 5% stake in Browse LNG project from bp | Qatar, Iran gas field disruptions threaten LNG supply, Wood Mackenzie says | PETRONAS signs five-year LNG supply deal with Greece’s METLEN",OK.,
Oil & Gas Journal,active,https://www.ogj.com/,200,162,22,"US LNG exports on track to top 120 million tonnes in 2026, Energy Secretary says | INA commissions new delayed coker at Rijeka refinery | Oil prices retreat as Middle East supply concerns ease amid diplomatic talks | US sanctions bill targets Russian energy but gives Trump broad discretion | EIA: US crude oil inventories up 3 million bbl | Tanker containing first shipment from the Golden Pass LNG project is guided by tug vessels through a canal waterway out to open sea. | QatarEnergy NFE LNG Train 1 to start 1H 2027; Ras Laffan repairs to take 3 years | ESENTIA to acquire Guadalajara-Manzanillo natural gas pipeline system | Insights: Prioritizing process safety management across the refining industry (Pt. 1) | Oil & Gas Journal ReEnterprised | IEA: Ukrainian drone campaign degrades Russian refining resilience | YPF taps Axens for new diesel hydrotreater at Argentinian refinery | Panoramic view of processing units at ZPC&apos;s Zhoushan integrated refining complex | North American weekly rig count falls as Canadian oil drilling declines | US crude oil production | EIA forecasts continued growth in US crude oil production through 2026 | 498979279491515___commercialenergy_headerimage_128 | Enbridge launches open season for West Texas Express natural gas pipeline | Caturus exec speaks at G20 Energy Abundance Ministerial in Houston | Caturus plans to nearly double capacity of under-construction Commonwealth LNG plant | Saudi pipeline shutdown threatens further global oil supply losses | footer logo Oil & Gas Journal",OK.,
OilPrice.com,active,https://oilprice.com/rss/main,200,15,11,White House Rules Out Diesel Export Ban as Prices Surge Above $6.50 | Hormuz Workarounds Keep Gulf Oil Flowing—at a Steep Cost | Hormuz Supply Crisis to Change LNG Market Forever | Imperial Oil Becomes First Major Alberta Energy Company to Oppose Separatism | U.S. Energy Secretary: Blunt Tool of Banning Diesel Exports Doesn't Work | Dangote's Kenya Refinery Project Launches This Week at Up to $20B | Copper Erases Tariff Selloff as Shanghai Stockpiles Hit Three-Year Low | EIA Reports 3M Barrel Crude Build as Distillate Stocks Fall 12% Below Average | Climate Startup Signs CO2 Deals With Three U.S. Oil Producers | China's 80% Grip on Iranian Oil Looms Over Trump-Xi Summit | TotalEnergies to Develop Offshore Gas Field to Boost Nigeria LNG Supply,OK.,RSS source for daily crude and geopolitics coverage.
Rigzone,active,https://www.rigzone.com/,200,117,1,A Critical Week for Oil,OK.,"Source for drilling, output, and industry news."
Offshore Magazine,active,https://www.offshore-mag.com/,200,186,9,"Talos Energy closes $420-million &lsquo;deepwater bolt-on&rsquo; from Shell | Talos Energy closes $420-million ‘deepwater bolt-on’ from Shell | Oil rig in the Caspian Sea near Baku | Video: Promethean Energy CEO discusses offshore decommissioning and P&A challenges | PTTEP Energy Development Co and Valeura Energy have taken FID on the Bussabong gas field development in Block G3/65 in the Gulf of Thailand. | Vallourec secures pipe supply contracts for Petrobras' Sepia 2 project, Greek CO2 storage development | New Fortress Energy sells former Seadrill semisubs for scrap | MODU construction survey: Much of the newbuild rig supply may never hit the market | Principle Power VP: Ports, policy and supply chains will determine floating wind's next phase",OK.,Source for offshore projects and upstream developments.
